run_id,best_val_loss,lr,dropout,weight_decay,batch_size,calorie_weight,seg_weight
0,11018.474975585938,0.0005,0.4,0.0001,64,1.0,0.3
1,10326.163146972656,0.0005,0.4,0.0001,64,1.0,0.5
2,12439.12939453125,0.0005,0.4,0.0001,64,1.0,0.7
3,12609.511840820312,0.0005,0.4,0.0005,64,1.0,0.3
4,10420.463134765625,0.0005,0.4,0.0005,64,1.0,0.5
5,10660.640991210938,0.0005,0.4,0.0005,64,1.0,0.7
6,10923.291625976562,0.0005,0.5,0.0001,64,1.0,0.3
7,11044.118408203125,0.0005,0.5,0.0001,64,1.0,0.5
8,11153.527893066406,0.0005,0.5,0.0001,64,1.0,0.7
9,11468.511901855469,0.0005,0.5,0.0005,64,1.0,0.3
10,11156.387023925781,0.0005,0.5,0.0005,64,1.0,0.5
11,11322.166442871094,0.0005,0.5,0.0005,64,1.0,0.7
12,13192.55419921875,0.005,0.4,0.0001,64,1.0,0.3
13,14087.178771972656,0.005,0.4,0.0001,64,1.0,0.5
14,15544.464477539062,0.005,0.4,0.0001,64,1.0,0.7
15,14096.52783203125,0.005,0.4,0.0005,64,1.0,0.3
16,13288.384887695312,0.005,0.4,0.0005,64,1.0,0.5
17,13209.276184082031,0.005,0.4,0.0005,64,1.0,0.7
18,13455.859008789062,0.005,0.5,0.0001,64,1.0,0.3
19,14323.542358398438,0.005,0.5,0.0001,64,1.0,0.5
20,13680.483032226562,0.005,0.5,0.0001,64,1.0,0.7
21,13659.061401367188,0.005,0.5,0.0005,64,1.0,0.3
22,13781.648193359375,0.005,0.5,0.0005,64,1.0,0.5
23,14782.240966796875,0.005,0.5,0.0005,64,1.0,0.7
